Period,Parameters,Final Value,Total Return %,CAGR %,Max Drawdown %,Sharpe Ratio,Trades,vs QQQ %,QQQ Return %
5Y,"EMA(9/50) | RSI>50 | Pivot(7,5)",29007.989008333738,190.07989008333735,23.75617645195549,-32.163328968764695,0.8534076496358343,112,87.19300983025599,102.8868802530814
5Y,"EMA(9/50) | RSI>50 | Pivot(5,7)",29007.989008333738,190.07989008333735,23.75617645195549,-32.163328968764695,0.8534076496358343,112,87.19300983025599,102.8868802530814
5Y,"EMA(9/50) | RSI>50 | Pivot(5,5)",29007.989008333738,190.07989008333735,23.75617645195549,-32.163328968764695,0.8534076496358343,112,87.19300983025599,102.8868802530814
3Y,"EMA(12/21) | Pivot(5,5)",30523.316267579645,205.2331626757964,45.095703346168,-33.65881591086399,1.0803624444821525,13,84.87735255802339,120.35581011777305
3Y,"EMA(12/21) | Pivot(5,7)",30523.316267579645,205.2331626757964,45.095703346168,-33.65881591086399,1.0803624444821525,13,84.87735255802339,120.35581011777305
3Y,"EMA(12/21) | Pivot(7,5)",30523.316267579645,205.2331626757964,45.095703346168,-33.65881591086399,1.0803624444821525,13,84.87735255802339,120.35581011777305
3Y,"EMA(12/21) | Pivot(7,7)",30523.316267579645,205.2331626757964,45.095703346168,-33.65881591086399,1.0803624444821525,13,84.87735255802339,120.35581011777305
3Y,EMA(12/21),30523.316267579645,205.2331626757964,45.095703346168,-33.65881591086399,1.0803624444821525,13,84.87735255802339,120.35581011777305
3Y,EMA(12/21),30523.316267579645,205.2331626757964,45.095703346168,-33.65881591086399,1.0803624444821525,13,84.87735255802339,120.35581011777305
3Y,EMA(12/21),30523.316267579645,205.2331626757964,45.095703346168,-33.65881591086399,1.0803624444821525,13,84.87735255802339,120.35581011777305
3Y,EMA(12/21),30523.316267579645,205.2331626757964,45.095703346168,-33.65881591086399,1.0803624444821525,13,84.87735255802339,120.35581011777305
2Y,"EMA(50) | Pivot(5,5)",24435.85713204138,144.35857132041377,56.36756555620441,-35.26130159441134,1.2650158893938126,12,84.8665247455657,59.49204657484807
2Y,"EMA(50) | Pivot(5,7)",24435.85713204138,144.35857132041377,56.36756555620441,-35.26130159441134,1.2650158893938126,12,84.8665247455657,59.49204657484807
2Y,"EMA(50) | Pivot(7,5)",24435.85713204138,144.35857132041377,56.36756555620441,-35.26130159441134,1.2650158893938126,12,84.8665247455657,59.49204657484807
2Y,"EMA(50) | Pivot(7,7)",24435.85713204138,144.35857132041377,56.36756555620441,-35.26130159441134,1.2650158893938126,12,84.8665247455657,59.49204657484807
2Y,EMA(50),24435.85713204138,144.35857132041377,56.36756555620441,-35.26130159441134,1.2650158893938126,12,84.8665247455657,59.49204657484807
2Y,EMA(50),24435.85713204138,144.35857132041377,56.36756555620441,-35.26130159441134,1.2650158893938126,12,84.8665247455657,59.49204657484807
2Y,EMA(50),24435.85713204138,144.35857132041377,56.36756555620441,-35.26130159441134,1.2650158893938126,12,84.8665247455657,59.49204657484807
2Y,EMA(50),24435.85713204138,144.35857132041377,56.36756555620441,-35.26130159441134,1.2650158893938126,12,84.8665247455657,59.49204657484807
3Y,EMA(12/21) | SL:15%,30327.75887165297,203.2775887165297,44.78495940517075,-36.55899194564097,1.07711814992287,16,82.92177859875669,120.35581011777305
3Y,EMA(12/21) | SL:15%,30327.75887165297,203.2775887165297,44.78495940517075,-36.55899194564097,1.07711814992287,16,82.92177859875669,120.35581011777305
3Y,EMA(12/21) | SL:15%,30327.75887165297,203.2775887165297,44.78495940517075,-36.55899194564097,1.07711814992287,16,82.92177859875669,120.35581011777305
3Y,EMA(12/21) | SL:15%,30327.75887165297,203.2775887165297,44.78495940517075,-36.55899194564097,1.07711814992287,16,82.92177859875669,120.35581011777305
3Y,"EMA(12/21) | SL:15% | Pivot(7,7)",30327.75887165297,203.2775887165297,44.78495940517075,-36.55899194564097,1.07711814992287,16,82.92177859875669,120.35581011777305
3Y,"EMA(12/21) | SL:15% | Pivot(7,5)",30327.75887165297,203.2775887165297,44.78495940517075,-36.55899194564097,1.07711814992287,16,82.92177859875669,120.35581011777305
3Y,"EMA(12/21) | SL:15% | Pivot(5,7)",30327.75887165297,203.2775887165297,44.78495940517075,-36.55899194564097,1.07711814992287,16,82.92177859875669,120.35581011777305
